"id";"ActivityDay";"SedentaryMinutes";"LightlyActiveMinutes";"FairlyActiveMinutes";"VeryActiveMinutes";"SedentaryActiveDistance";"LightActiveDistance";"ModeratelyActiveDistance";"VeryActiveDistance"
1503960366;"2016-04-12 00:00:00";728;328;13;25;0;6;1;2
1503960366;"2016-04-13 00:00:00";776;217;19;21;0;5;1;2
1503960366;"2016-04-14 00:00:00";1218;181;11;30;0;4;0;2
1503960366;"2016-04-15 00:00:00";726;209;34;29;0;3;1;2
1503960366;"2016-04-16 00:00:00";773;221;10;36;0;5;0;3
1503960366;"2016-04-17 00:00:00";539;164;20;38;0;3;1;3
1503960366;"2016-04-18 00:00:00";1149;233;16;42;0;5;1;3
1503960366;"2016-04-19 00:00:00";775;264;31;50;0;5;1;4
1503960366;"2016-04-20 00:00:00";818;205;12;28;0;4;0;2
1503960366;"2016-04-21 00:00:00";838;211;8;19;0;5;0;1
1503960366;"2016-04-22 00:00:00";1217;130;27;66;0;2;1;5
1503960366;"2016-04-23 00:00:00";732;262;21;41;0;5;1;3
1503960366;"2016-04-24 00:00:00";709;238;5;39;0;3;0;3
1503960366;"2016-04-25 00:00:00";814;216;14;73;0;4;1;5
1503960366;"2016-04-26 00:00:00";833;279;23;31;0;6;1;2
1503960366;"2016-04-27 00:00:00";1108;243;11;78;0;5;0;6
1503960366;"2016-04-28 00:00:00";782;189;28;48;0;4;1;4
1503960366;"2016-04-29 00:00:00";815;243;12;16;0;6;1;1
1503960366;"2016-04-30 00:00:00";712;217;34;52;0;4;1;4
1503960366;"2016-05-01 00:00:00";730;246;35;33;0;3;2;2
1503960366;"2016-05-02 00:00:00";798;277;15;41;0;6;1;3
1503960366;"2016-05-03 00:00:00";816;254;24;50;0;5;1;4
1503960366;"2016-05-04 00:00:00";1179;203;22;36;0;4;1;2
1503960366;"2016-05-05 00:00:00";857;250;24;45;0;5;1;3
1503960366;"2016-05-06 00:00:00";754;289;6;24;0;6;0;2
1503960366;"2016-05-07 00:00:00";833;175;46;37;0;3;2;2
1503960366;"2016-05-08 00:00:00";574;203;8;44;0;3;0;4
1503960366;"2016-05-09 00:00:00";835;206;11;46;0;4;1;3
1503960366;"2016-05-10 00:00:00";746;214;31;46;0;3;1;3
1503960366;"2016-05-11 00:00:00";669;251;23;36;0;5;1;3
1503960366;"2016-05-12 00:00:00";1440;0;0;0;0;0;0;0
1624580081;"2016-04-12 00:00:00";1294;146;0;0;0;5;0;0
1624580081;"2016-04-13 00:00:00";1292;148;0;0;0;5;0;0
1624580081;"2016-04-14 00:00:00";1204;236;0;0;0;6;0;0
1624580081;"2016-04-15 00:00:00";1344;96;0;0;0;1;0;0
1624580081;"2016-04-16 00:00:00";1264;176;0;0;0;3;0;0
1624580081;"2016-04-17 00:00:00";1276;127;22;15;0;1;2;1
1624580081;"2016-04-18 00:00:00";1214;202;7;17;0;5;1;2
1624580081;"2016-04-19 00:00:00";1299;141;0;0;0;2;0;0
1624580081;"2016-04-20 00:00:00";1289;151;0;0;0;3;0;0
1624580081;"2016-04-21 00:00:00";1254;186;0;0;0;4;0;0
1624580081;"2016-04-22 00:00:00";1241;199;0;0;0;3;0;0
1624580081;"2016-04-23 00:00:00";1213;227;0;0;0;6;0;0
1624580081;"2016-04-24 00:00:00";1221;185;18;16;0;2;1;1
1624580081;"2016-04-25 00:00:00";1238;202;0;0;0;4;0;0
1624580081;"2016-04-26 00:00:00";1300;140;0;0;0;2;0;0
1624580081;"2016-04-27 00:00:00";1233;154;36;17;0;2;2;1
1624580081;"2016-04-28 00:00:00";1320;115;5;0;0;2;0;0
1624580081;"2016-04-29 00:00:00";1290;150;0;0;0;2;0;0
1624580081;"2016-04-30 00:00:00";1182;224;23;11;0;2;1;1
1624580081;"2016-05-01 00:00:00";1020;171;63;186;0;2;4;22
1624580081;"2016-05-02 00:00:00";1261;166;6;7;0;3;1;1
1624580081;"2016-05-03 00:00:00";1344;96;0;0;0;1;0;0
1624580081;"2016-05-04 00:00:00";1322;118;0;0;0;1;0;0
1624580081;"2016-05-05 00:00:00";1323;117;0;0;0;2;0;0
1624580081;"2016-05-06 00:00:00";1338;102;0;0;0;1;0;0
1624580081;"2016-05-07 00:00:00";1258;182;0;0;0;1;0;0
